Glaucostegus cemiculus,0,80
Glaucostegus granulatus,0,120
Glaucostegus halavi,0,100
Glaucostegus obtusus,0,60
Glaucostegus thouin,0,60
Glaucostegus typus,0,100
Rhina ancylostoma,0,70
Rhynchobatus australiae,0,60
Rhynchobatus cooki,NA,NA
Rhynchobatus djiddensis,0,70
Rhynchobatus immaculatus,NA,NA
Rhynchobatus laevis,0,60
Rhynchobatus luebberti,0,35
Rhynchobatus palpebratus,5,60
Rhynchobatus springeri,16,40
Rhynchorhina mauritaniensis,NA,NA
